source,group,function,value,full_id,criterion_path,n_samples,mean_ns,ci_lo_ns,ci_hi_ns
aws,commitment_set,prove,N=64,commitment_set/prove/N=64,commitment_set/prove/N=64,20,3251208.052417165,3243818.674302146,3259388.383818441
aws,commitment_set,prove,N=64_n4,commitment_set/prove/N=64_n4,commitment_set/prove/N=64_n4,20,2114840.959525483,2108821.999170386,2122256.995519156
aws,commitment_set,verify,N=1024,commitment_set/verify/N=1024,commitment_set/verify/N=1024,20,9275902.513538461,9262864.352302307,9290944.234468844
aws,commitment_set,verify,N=1024_n4,commitment_set/verify/N=1024_n4,commitment_set/verify/N=1024_n4,20,8885664.895668134,8836352.63068025,8992771.032024596
aws,commitment_set,verify,N=16,commitment_set/verify/N=16,commitment_set/verify/N=16,20,230780.36972297035,230086.23732353782,231518.93454812426
aws,commitment_set,verify,N=256,commitment_set/verify/N=256,commitment_set/verify/N=256,20,2677229.1642252896,2669783.3096862193,2684812.9147798303
aws,commitment_set,verify,N=256_n4,commitment_set/verify/N=256_n4,commitment_set/verify/N=256_n4,20,2541467.5947268107,2536355.8531929273,2547463.4614827405
aws,commitment_set,verify,N=4,commitment_set/verify/N=4,commitment_set/verify/N=4,20,95836.08277768898,95593.76028281121,96127.59929872541
aws,commitment_set,verify,N=4096,commitment_set/verify/N=4096,commitment_set/verify/N=4096,20,35600903.64911765,35537567.281054415,35674691.58819265
aws,commitment_set,verify,N=64,commitment_set/verify/N=64,commitment_set/verify/N=64,20,740011.1654624458,738093.5880251086,742098.585438082
aws,commitment_set,verify,N=64_n4,commitment_set/verify/N=64_n4,commitment_set/verify/N=64_n4,20,694241.2417980523,692671.5256581845,696109.1853843324
aws,dleq,prove,,dleq/prove,dleq/prove,200,85709.16829322693,85329.19905481434,86090.99748073751
aws,dleq,verify,,dleq/verify,dleq/verify,200,146292.7516350585,145612.8580061589,147010.0899068185
aws,enc_validity,prove,,enc_validity/prove,enc_validity/prove,200,120439.96652571857,119862.38653546118,121010.65881519124
aws,enc_validity,verify,,enc_validity/verify,enc_validity/verify,200,177947.77192880723,177258.02778463805,178710.44351955585
aws,representation,prove,1,representation/prove/1,representation/prove/1,200,43703.62723960884,43524.40758371984,43904.5029069395
aws,representation,prove,2,representation/prove/2,representation/prove/2,200,57526.645112930804,57276.550241527744,57775.94476924828
aws,representation,prove,4,representation/prove/4,representation/prove/4,200,86853.53064060431,86406.32080192026,87314.11087122242
aws,representation,prove,8,representation/prove/8,representation/prove/8,200,139375.77551067856,138840.3493343521,139922.49218988922
aws,representation,verify,1,representation/verify/1,representation/verify/1,200,74732.06510037644,74374.86794882448,75097.10025136164
